224, 508
230, 599
244, 684
262, 768
287, 843
332, 911
392, 962
459, 1001
534, 1016
611, 1002
680, 963
742, 911
785, 846
811, 770
832, 692
854, 611
869, 524
262, 435
306, 391
373, 385
436, 403
497, 430
606, 433
673, 412
740, 403
804, 417
845, 463
547, 496
546, 549
545, 600
544, 655
476, 702
510, 713
544, 723
579, 717
611, 710
334, 511
372, 489
417, 491
457, 523
414, 529
369, 528
636, 528
680, 499
725, 501
760, 527
726, 542
679, 538
410, 807
462, 805
508, 797
539, 808
571, 801
616, 812
664, 811
615, 845
569, 863
536, 867
502, 863
459, 844
428, 813
507, 825
539, 829
571, 826
645, 816
569, 828
536, 831
505, 827
