103, 524
107, 606
120, 687
134, 767
161, 840
207, 904
266, 959
338, 996
420, 1008
498, 991
559, 945
612, 892
652, 831
677, 763
691, 688
701, 612
707, 534
152, 427
186, 379
246, 361
307, 369
363, 397
470, 399
525, 372
586, 364
642, 380
675, 427
413, 477
413, 533
414, 589
415, 646
354, 688
384, 696
416, 704
448, 697
479, 688
220, 498
254, 482
294, 481
327, 504
292, 511
252, 511
500, 506
534, 482
573, 482
606, 501
576, 514
536, 512
297, 807
334, 782
379, 767
416, 779
450, 769
492, 784
526, 807
491, 838
450, 855
413, 858
375, 854
332, 840
315, 809
378, 806
415, 809
451, 806
508, 809
449, 809
414, 813
377, 808
