66, 484
75, 582
98, 677
125, 767
160, 852
208, 932
273, 995
350, 1042
437, 1053
519, 1031
592, 977
649, 905
689, 816
714, 723
727, 629
737, 532
733, 436
114, 419
156, 376
217, 357
281, 364
338, 389
467, 385
522, 352
583, 333
644, 340
690, 377
412, 444
416, 513
422, 584
426, 656
360, 703
393, 713
429, 720
461, 708
489, 696
187, 466
226, 436
272, 435
315, 468
272, 473
225, 476
500, 458
540, 418
586, 412
624, 435
593, 451
548, 456
290, 825
345, 806
394, 795
433, 806
473, 793
524, 800
578, 813
530, 855
480, 873
437, 877
395, 874
346, 857
312, 825
393, 822
433, 828
475, 820
559, 816
476, 824
435, 830
395, 825
