73, 471
74, 560
83, 644
102, 730
131, 811
175, 880
234, 942
300, 994
378, 1013
458, 998
526, 951
583, 890
625, 814
653, 735
673, 651
688, 566
690, 479
110, 421
144, 383
200, 371
260, 378
318, 398
457, 394
513, 372
571, 366
628, 381
660, 422
390, 466
392, 521
393, 575
394, 631
324, 684
357, 695
392, 704
425, 696
456, 684
173, 474
212, 457
255, 457
298, 482
254, 487
210, 489
474, 483
517, 460
559, 461
595, 478
559, 493
515, 489
272, 824
312, 802
355, 788
388, 799
419, 786
458, 799
494, 819
459, 850
421, 864
387, 868
353, 865
312, 855
292, 826
354, 822
387, 823
419, 819
474, 820
420, 817
388, 821
355, 819
