141, 484
137, 538
140, 593
147, 650
164, 704
195, 752
237, 792
289, 822
349, 830
408, 824
460, 793
505, 750
535, 701
549, 644
555, 585
555, 529
547, 475
174, 432
195, 395
235, 378
279, 379
320, 394
384, 393
422, 377
465, 379
503, 395
523, 430
353, 449
352, 490
351, 530
350, 572
303, 604
326, 612
354, 619
379, 611
404, 601
216, 468
237, 450
267, 450
295, 470
266, 478
237, 479
410, 469
434, 448
464, 447
486, 464
465, 477
436, 477
271, 687
303, 676
333, 669
356, 673
377, 667
406, 672
440, 683
410, 700
381, 706
359, 708
335, 707
305, 702
283, 687
333, 686
357, 688
379, 685
428, 684
380, 685
358, 687
335, 686
