263, 441
271, 503
286, 563
300, 622
319, 683
352, 735
403, 777
468, 799
539, 801
608, 790
665, 762
710, 721
740, 669
756, 606
764, 540
771, 477
773, 412
299, 369
324, 330
368, 309
418, 304
466, 314
545, 304
590, 288
640, 284
689, 296
721, 332
507, 365
508, 410
509, 454
510, 500
462, 543
488, 550
515, 553
544, 545
570, 535
348, 401
375, 378
409, 374
445, 396
412, 404
376, 409
580, 383
611, 355
646, 353
676, 374
649, 386
614, 386
421, 646
455, 620
490, 608
518, 613
546, 605
584, 612
622, 634
588, 654
554, 662
525, 666
496, 666
459, 665
437, 644
492, 634
520, 633
548, 629
606, 633
550, 632
522, 636
494, 636
