49, 465
50, 558
66, 649
84, 740
109, 830
153, 912
223, 976
308, 1031
404, 1053
500, 1034
588, 988
665, 928
716, 849
746, 761
767, 668
788, 570
795, 469
92, 405
123, 355
183, 334
253, 336
318, 360
472, 354
543, 326
618, 321
688, 346
731, 397
392, 444
385, 514
378, 583
372, 653
309, 694
343, 708
381, 717
425, 705
466, 690
161, 469
204, 445
253, 448
302, 476
253, 483
201, 485
504, 474
555, 443
606, 443
648, 466
607, 484
554, 483
268, 819
314, 800
358, 792
391, 799
429, 788
481, 793
543, 804
485, 840
435, 854
396, 859
360, 857
315, 849
289, 819
358, 824
392, 824
432, 818
520, 806
434, 812
394, 816
360, 815
