202, 125
201, 141
201, 158
204, 174
211, 189
219, 201
229, 212
241, 219
257, 221
273, 219
287, 211
299, 201
308, 189
314, 175
317, 159
319, 142
320, 125
207, 104
213, 95
223, 93
233, 93
244, 97
269, 97
280, 93
292, 92
303, 95
310, 105
256, 115
256, 126
255, 136
255, 147
241, 155
248, 157
256, 159
263, 157
271, 155
216, 120
223, 114
231, 114
238, 120
231, 122
222, 123
276, 120
283, 113
292, 113
299, 119
293, 122
284, 122
230, 184
239, 176
249, 171
255, 172
260, 171
270, 175
280, 183
271, 191
261, 194
255, 194
248, 194
239, 192
235, 184
248, 182
255, 182
261, 181
276, 183
261, 181
255, 181
248, 181
