185, 129
185, 146
187, 163
190, 181
194, 198
203, 213
215, 224
230, 231
249, 234
268, 231
284, 224
297, 212
306, 197
310, 180
312, 162
315, 145
316, 127
194, 112
203, 103
215, 100
228, 103
239, 108
264, 107
276, 102
288, 100
300, 103
308, 112
251, 123
251, 135
251, 148
251, 161
236, 169
243, 170
250, 171
258, 170
265, 170
208, 126
215, 122
223, 122
230, 127
223, 128
214, 129
271, 127
278, 122
287, 122
294, 126
287, 128
279, 128
226, 195
235, 189
243, 185
250, 187
257, 186
265, 190
274, 195
265, 201
257, 204
249, 205
242, 204
234, 202
230, 195
243, 193
250, 194
257, 194
270, 195
257, 193
249, 194
243, 193
